,,,,,Race and Ethnicity : Summarize
Topic: Health Behavior and Population
Subtopic: Social and Economic Conditions
Indicator Name: Race and Ethnicity
Indicator Description: 

Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,Percent Asian Alone,Percent Black Alone,Percent Hispanic Alone,Percent Non-White,Percent White Alone,Total Population,Notes Percent Asian Alone,Notes Percent Black Alone,Notes Percent Hispanic Alone,Notes Percent Non-White,Notes Percent White Alone,Notes Total Population,
2012-16,Neighborhood (Community District),Queens, Long Island City and Astoria (CD1),401,Race and Ethnicity,15.9,6.3,27.2,52.2,47.8,"172,468",,,,,,,
2012-16,Neighborhood (Community District),Manhattan, Lower East Side and Chinatown (CD3),103,Race and Ethnicity,31.0,7.9,24.9,66.9,33.1,"160,709",,,,,,,
2012-16,Neighborhood (Community District),Manhattan, Midtown (CD5),105,Race and Ethnicity,16.2,5.4,14.6,39.1,60.9,"149,309",,,,,,,
2012-16,Neighborhood (Community District),Manhattan, Morningside Heights and Hamilton Heights (CD9),109,Race and Ethnicity,8.3,21.5,37.9,71.4,28.6,"129,881",,,,,,,
2012-16,Neighborhood (Community District),Bronx, Morris Park and Bronxdale (CD11),211,Race and Ethnicity,7.6,21.5,47.0,78.2,21.8,"129,501",,,,,,,
2012-16,Neighborhood (Community District),Bronx, Morrisania and Crotona (CD3),203,Race and Ethnicity,0.8,30.1,63.5,95.5,4.5,"171,849",,,,,,,
2012-16,Neighborhood (Community District),Bronx, Mott Haven and Melrose (CD1),201,Race and Ethnicity,0.8,28.2,68.2,98.4,1.6,"161,319",,,,,,,
2012-16,Neighborhood (Community District),Brooklyn, Park Slope and Carroll Gardens (CD6),306,Race and Ethnicity,6.4,6.8,17.5,35.4,64.7,"116,344",,,,,,,
2012-16,Neighborhood (Community District),Bronx, Parkchester and Soundview (CD9),209,Race and Ethnicity,7.0,28.8,58.4,97.2,2.8,"189,556",,,,,,,
2012-16,Neighborhood (Community District),Queens, Queens Village (CD13),413,Race and Ethnicity,15.0,56.1,11.7,88.3,11.7,"200,852",,,,,,,
