,,,,,High School Graduation : Summarize,,,,,
Topic: Health Behavior and Population,,,,,,,,,,
Subtopic: Social and Economic Conditions,,,,,,,,,,
Indicator Name: High School Graduation,,,,,,,,,,
Indicator Description: ,,,,,,,,,,
,,,,,,,,,,
Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,Number,Percent,Notes Number,Notes Percent,
2013-17,Neighborhood (Community District),Manhattan,Financial District (CD1),101,High School Graduation,"117,469",96.0,,,
2013-17,Neighborhood (Community District),Brooklyn,Flatbush and Midwood (CD14),314,High School Graduation,"88,044",82.6,,,
2013-17,Neighborhood (Community District),Brooklyn,Flatlands and Canarsie (CD18),318,High School Graduation,"125,777",87.6,,,
2013-17,Neighborhood (Community District),Queens,Flushing and Whitestone (CD7),407,High School Graduation,"146,148",77.1,,,
2013-17,Neighborhood (Community District),Bronx,Fordham and University Heights (CD5),205,High School Graduation,"54,483",65.7,,,
2013-17,Neighborhood (Community District),Brooklyn,Fort Greene and Brooklyn Heights (CD2),302,High School Graduation,"91,088",89.5,,,
2013-17,Neighborhood (Community District),Brooklyn,Greenpoint and Williamsburg (CD1),301,High School Graduation,"95,227",83.7,,,
2013-17,Neighborhood (Community District),Manhattan,Greenwich Village and Soho (CD2),102,High School Graduation,"117,469",96.0,,,
2013-17,Neighborhood (Community District),Bronx,Highbridge and Concourse (CD4),204,High School Graduation,"57,777",65.3,,,
2013-17,Neighborhood (Community District),Queens,Hillcrest and Fresh Meadows (CD8),408,High School Graduation,"97,041",85.5,,,
2013-17,Neighborhood (Community District),Bronx,Hunts Point and Longwood (CD2),202,High School Graduation,"56,689",59.5,,,
2013-17,Neighborhood (Community District),Queens,Jackson Heights (CD3),403,High School Graduation,"87,710",70.8,,,
2013-17,Neighborhood (Community District),Queens,Jamaica and Hollis (CD12),412,High School Graduation,"133,121",80.9,,,
2013-17,Neighborhood (Community District),Queens,Kew Gardens and Woodhaven (CD9),409,High School Graduation,"81,466",77.8,,,
2013-17,Neighborhood (Community District),Bronx,Kingsbridge Heights and Bedford (CD7),207,High School Graduation,"57,645",68.6,,,
2013-17,Neighborhood (Community District),Queens,Long Island City and Astoria (CD1),401,High School Graduation,"113,246",84.6,,,
2013-17,Neighborhood (Community District),Manhattan,Lower East Side and Chinatown (CD3),103,High School Graduation,"92,228",74.4,,,
2013-17,Neighborhood (Community District),Manhattan,Midtown (CD5),105,High School Graduation,"118,021",94.3,,,
2013-17,Neighborhood (Community District),Manhattan,Morningside Heights and Hamilton Heights (CD9),109,High School Graduation,"70,643",79.4,,,
2013-17,Neighborhood (Community District),Bronx,Morris Park and Bronxdale (CD11),211,High School Graduation,"68,237",76.8,,,
2013-17,Neighborhood (Community District),Bronx,Morrisania and Crotona (CD3),203,High School Graduation,"65,281",64.2,,,
2013-17,Neighborhood (Community District),Bronx,Mott Haven and Melrose (CD1),201,High School Graduation,"56,689",59.5,,,
2013-17,Neighborhood (Community District),Brooklyn,Park Slope and Carroll Gardens (CD6),306,High School Graduation,"80,534",91.5,,,
2013-17,Neighborhood (Community District),Bronx,Parkchester and Soundview (CD9),209,High School Graduation,"88,254",71.2,,,
2013-17,Neighborhood (Community District),Queens,Queens Village (CD13),413,High School Graduation,"127,658",87.8,,,
2013-17,Neighborhood (Community District),Queens,Rego Park and Forest Hills (CD6),406,High School Graduation,"83,010",92.0,,,
2013-17,Neighborhood (Community District),Queens,Ridgewood and Maspeth (CD5),405,High School Graduation,"107,276",84.0,,,
2013-17,Neighborhood (Community District),Bronx,Riverdale and Fieldston (CD8),208,High School Graduation,"63,317",82.2,,,
2013-17,Neighborhood (Community District),Queens,Rockaway and Broad Channel (CD14),414,High School Graduation,"61,975",78.2,,,
2013-17,Neighborhood (Community District),Brooklyn,Sheepshead Bay (CD15),315,High School Graduation,"91,550",84.7,,,
2013-17,Neighborhood (Community District),Staten Island,South Beach and Willowbrook (CD2),502,High School Graduation,"85,468",88.5,,,
