zipcode,day,neighborhood_name,borough_group,positive,covid_case_rate,covid_death_count,covid_death_rate,incidence_rate,newcases,pop_denominator
11354,2020-08-01,Flushing/Murray Hill,Queens,1363,2455.05,296,533.16,9.006088115566122,5,55518
11355,2020-08-01,Flushing/Murray Hill/Queensboro Hill,Queens,1530,1912.17,168,209.96,2.499562576549104,2,80014
11356,2020-08-01,College Point,Queens,610,2615.47,42,180.08,0,0,23323
11357,2020-08-01,Whitestone,Queens,881,2203.85,104,260.16,2.501500900540324,1,39976
11358,2020-08-01,Auburndale/Murray Hill,Queens,622,1750.07,43,120.99,2.8135726745821845,1,35542
11360,2020-08-01,Bayside (North),Queens,336,1781.25,27,143.14,0,0,18863
11361,2020-08-01,Bayside (North)/Bayside (South),Queens,485,1733.88,57,203.78,0,0,27972
11362,2020-08-01,Douglaston-Little Neck,Queens,347,1956.25,36,202.95,5.637614161686773,1,17738
11363,2020-08-01,Douglaston-Little Neck,Queens,105,1466.68,5,69.84,0,0,7159
11364,2020-08-01,Bayside (South)/Oakland Gardens,Queens,490,1417.72,35,101.27,0,0,34563
11365,2020-08-01,Auburndale/Fresh Meadows/Pomonok/Utopia,Queens,919,2086.23,67,152.1,2.27009602506186,1,44051
11366,2020-08-01,Fresh Meadows/Hillcrest,Queens,408,2961.37,28,203.23,0,0,13777
11367,2020-08-01,Kew Gardens Hills/Pomonok,Queens,1126,2678.45,67,159.37,0,0,42039
11368,2020-08-01,Corona/North Corona,Queens,4974,4457.22,444,397.87,8.961055253866695,10,111594
11369,2020-08-01,Airport/East Elmhurst,Queens,1707,4681.56,179,490.92,2.742581317536065,1,36462
11370,2020-08-01,Jackson Heights/Rikers Island,Queens,1409,4301.15,64,195.37,0,0,32759
11372,2020-08-01,Jackson Heights,Queens,2734,4370,257,410.79,1.5983888240653423,1,62563
11373,2020-08-01,Elmhurst,Queens,3436,3699.56,296,318.71,11.843748654119471,11,92876
11374,2020-08-01,Rego Park,Queens,1144,2720.72,99,235.45,7.134703196347032,3,42048
11375,2020-08-01,Forest Hills,Queens,1524,2160.08,181,256.54,0,0,70553
11377,2020-08-01,Woodside,Queens,2442,2824.15,195,225.52,5.7824191328684265,5,86469
